Playername,Age, hey, whatever, gth
Walter Acevedo,28,1.74,2010-,2012,1,0
Oscar Ahumada,31,1.70,2012-,2013,1,0
Marcos Angeleri,31,1.80,2009-,2011.5,4,0
Cristian Ansaldi,27,1.81,2009-,2011.5,3,0
Omar Asad,43,1.77,1995,2004.5,2,0
Hern&#xE1;n Barcos,30,1.89,2012-,2013,4,0
Sebasti&#xE1;n Battaglia,33,1.78,2003-2009,2006,10,0
Fernando Belluschi,30,1.75,2005-,2009.5,5,0
Cristian Campestrini,34,1.82,2009-,2011.5,2,0
H&#xE9;ctor Canteros,25,1.76,2011-,2012.5,2,0
Ignacio Canuto,28,1.88,2009-,2011.5,3,1
Jes&#xFA;s D&#xE1;tolo,30,1.77,2009-,2011.5,3,2
Germ&#xE1;n Denis,32,1.84,2007-,2010.5,5,0
Leandro Des&#xE1;bato,35,1.86,2011-,2012.5,5,0
Gonzalo Rub&#xE9;n Bergessio,30,1.78,2008-,2011,3,2
Hern&#xE1;n Bernardello,28,1.74,2009,2011.5,1,0
Claudio Biaggio,47,1.77,1995,2004.5,1,0
Carlos Bianchi,65,1.78,1970-1972,1971,14,7
Daniel Bilos,33,1.94,2005-2006,2005.5,3,1
Sebasti&#xE1;n Blanco,26,1.66,2009-,2011.5,2,1
David Bisconti,45,1.78,1991,2002.5,5,1
Jonathan Bottinelli,29,1.79,2007-,2010.5,1,0
Mauro Boselli,29,1.82,2009-,2011.5,4,1
Rodrigo Bra&#xF1;a,35,1.67,2009-,2011.5,9,0
Guillermo Burdisso,25,1.87,2010-,2012,1,1
Neri Cardozo,28,1.72,2007,2010.5,1,0
C&#xE9;sar Carignano,31,1.89,2003,2008.5,3,0
Luis Alberto Carranza,42,1.72,1994,2004,9,1
Mat&#xED;as Caruzzo,29,1.83,2008-,2011,5,0
Lucas Castrom&#xE1;n,33,1.74,2000-2005,2002.5,5,0
Fernando Cavenaghi,30,1.80,2008-,2011,4,0
Christian Cellay,32,1.70,2011-,2012.5,2,0
Francisco Cerro,26,1.79,2012-,2013,1,0
Cristian Manuel Ch&#xE1;vez,28,1.68,2010-,2012,4,1
Tino Costa,29,1.76,2011-,2012.5,2,0
Franco Costanzo,33,1.88,2003,2008.5,1,0
Jonathan Cristaldo,25,1.75,2011-,2012.5,1,0
H&#xE9;ctor C&#xFA;per,58,1.79,1984,1999,3,0
Walter Acevedo,28,1.74,2010-,2012,1,0
Oscar Ahumada,31,1.70,2012-,2013,1,0
Cristian Ansaldi,27,1.81,2009-,2011.5,3,0
Marcos Angeleri,31,1.80,2009-,2011.5,4,0
Omar Asad,43,1.77,1995,2004.5,2,0
Hern&#xE1;n Barcos,30,1.89,2012-,2013,4,0
Sebasti&#xE1;n Battaglia,33,1.78,2003-2009,2006,10,0
Fernando Belluschi,30,1.75,2005-,2009.5,5,0
Cristian Campestrini,34,1.82,2009-,2011.5,2,0
H&#xE9;ctor Canteros,25,1.76,2011-,2012.5,2,0
Ignacio Canuto,28,1.88,2009-,2011.5,3,1
Jes&#xFA;s D&#xE1;tolo,30,1.77,2009-,2011.5,3,2
Germ&#xE1;n Denis,32,1.84,2007-,2010.5,5,0
Leandro Des&#xE1;bato,35,1.86,2011-,2012.5,5,0
Gonzalo Rub&#xE9;n Bergessio,30,1.78,2008-,2011,3,2
