Playername,Country,Age,Height,Position,Years Played,Mean Year,Appearances,Goals,Birthplace,Longitude,Latitude
Roberto Abbondanzieri,Argentina,42,1.86,Goalkeeper,2004-2008,2006,49,0,Bouquet Santa Fe,-61.9,-32.4167
David Acevedo,Argentina,77,,Defender,,,,,Santa Fe Argentina,-60.7,-31.6333
Oscar Ahumada,Argentina,31,1.70,Midfielder,2012-,2013,1,0,Z&#xE1;rate Buenos Aires,-59.0333,-34.0833
Pablo Aimar,Argentina,34,1.70,Midfielder,1999-2009,2004,52,8,R&#xED;o Cuarto C&#xF3;rdoba,-64.35,-33.1333
Ram&#xF3;n Abeledo,Argentina,77,,Midfielder,,,,,Argentina,-58.3833,-34.6
Roberto Aguirre,Argentina,72,,Defender,1968-1969,1968.5,8,0,Buenos Aires,-58.3817,-34.6033
Oscar Rom&#xE1;n Acosta,Argentina,49,,Midfielder,1987,1987,1,0,Rosario Santa Fe,-60.6667,-32.95
Sergio Ag&#xFC;ero,Argentina,26,1.72,Forward,2006-,2010,55,21,Buenos Aires,-58.3817,-34.6033
Ernesto Albarrac&#xED;n,Argentina,,,Midfielder,,,,,Argentina,-58.3833,-34.6
&#xC1;ngel Allegri,Argentina,,,Defender,1950-1951,1950.5,4,0,Argentina,-58.3833,-34.6
Carlos Alfaro Moreno,Argentina,49,,Forward,1989-1991,1990,11,2,Buenos Aires,-58.3817,-34.6033
Mauro Airez,Argentina,45,1.75,Forward,1989-1990,1989.5,4,1,Buenos Aires,-58.3817,-34.6033
Mat&#xED;as Almeyda,Argentina,40,1.75,Midfielder,1996-2003,1999.5,35,1,Azul Buenos Aires Province,-59.85,-36.7833
Roque Alfaro,Argentina,58,,Forward,1987,1987,5,0,Nogoy&#xE1;,-59.8,-32.4
Walter Acevedo,Argentina,28,1.74,Midfielder,2010-,2012,1,0,San Justo Buenos Aires,-58.55,-34.6833
Ricardo Gabriel &#xC1;lvarez,Argentina,26,1.88,Midfielder,2011-,2012.5,7,1,Buenos Aires,-58.3817,-34.6033
Sergio Omar Almir&#xF3;n,Argentina,56,1.76,Forward,1985-1986,1985.5,6,4,Rosario Santa Fe,-60.6667,-32.95
Norberto Alonso,Argentina,61,1.76,Midfielder,1973-1983,1978,19,4,Vicente L&#xF3;pez,-58.4667,-34.5333
Luis Antonio Amuch&#xE1;stegui,Argentina,53,,Forward,1981-1983,1982,3,0,C&#xF3;rdoba Argentina,-64.1833,-31.4167
Rafael Albrecht,Argentina,73,,Defender,1961-1969,1965,39,3,San Miguel de Tucum&#xE1;n,-65.2167,-26.8331
Marcos Angeleri,Argentina,31,1.80,Defender,2009-,2011.5,4,0,La Plata,-57.9544,-34.9211
&#xC1;ngel Grippa,Argentina,,,Goalkeeper,,,,,Argentina,-58.3833,-34.6
Cristian Ansaldi,Argentina,27,1.81,Defender,2009-,2011.5,3,0,Rosario Santa Fe,-60.6667,-32.95
Osvaldo Ardiles,Argentina,62,1.69,Midfielder,1975-1982,1978.5,52,8,Bell Ville,-62.6833,-32.6333
Mariano And&#xFA;jar,Argentina,31,1.94,Goalkeeper,2009-,2011.5,10,0,Buenos Aires,-58.3817,-34.6033
Rodolfo Arruabarrena,Argentina,39,1.78,Defender,1994-2006,2000,6,0,Marcos Paz Buenos Aires,-58.8333,-34.7667
Antonio Valent&#xED;n Angelillo,Argentina,76,,Forward,1961-1962,1961.5,2,1,Buenos Aires,-58.3817,-34.6033
Jorge Artigas,Argentina,38,1.76,Midfielder,,,,,Buenos Aires,-58.3817,-34.6033
H&#xE9;ber Alberto Arriola,Argentina,34,1.87,Forward,,,,,Buenos Aires,-58.3817,-34.6033
Julio Asad,Argentina,61,,Midfielder,1975-1976,1975.5,7,1,Buenos Aires,-58.3817,-34.6033
Edgardo Andrada,Argentina,75,,Goalkeeper,1961-1969,1965,20,,Rosario Santa Fe,-60.6667,-32.95
Roberto Ayala,Argentina,41,1.77,Defender,1994-2007,2000.5,115,7,Paran&#xE1; Entre R&#xED;os,-60.5333,-31.7333
Leonardo Astrada,Argentina,44,1.74,Midfielder,1991-1999,1995,32,1,Buenos Aires,-58.3817,-34.6033
Agust&#xED;n Balbuena,Argentina,68,,Forward,,,8,0,Santa Fe Argentina,-60.7,-31.6333
Ludovico Avio,Argentina,,,Forward,,,,,Argentina,-58.3833,-34.6
Rub&#xE9;n Ayala,Argentina,64,,Forward,1969-1974,1971.5,25,11,Santa Fe Province,-62.2461,-33.7228
Roque Avallay,Argentina,68,,Forward,1968-1974,1971,15,1,San Rafael Mendoza,-68.3333,-34.6
Emilio Baldonedo,Argentina,,,Forward,1940,1940,6,7,Boedo,-58.4167,-34.6333
Abel Balbo,Argentina,48,1.80,Forward,1989-1998,1993.5,37,11,Empalme Villa Constituci&#xF3;n,-60.3833,-33.2667
H&#xE9;ctor Baley,Argentina,63,,Goalkeeper,1978-1982,1980,13,0,San Nicol&#xE1;s de los Arroyos,-60.2167,-33.3333
&#xC9;ver Banega,Argentina,26,1.74,Midfielder,2008-,2011,24,2,Rosario Santa Fe,-60.6667,-32.95
Juan Barbas,Argentina,55,1.67,Midfielder,1979-1985,1982,33,0,San Mart&#xED;n Buenos Aires,-58.5333,-34.5667
Hern&#xE1;n Barcos,Argentina,30,1.89,Forward,2012-,2013,4,0,Bell Ville,-62.6833,-32.6333
Carlos Babington,Argentina,64,,Forward,,,13,2,Buenos Aires,-58.3817,-34.6033
&#xC1;ngel Bargas,Argentina,67,1.75,Defender,1971-1974,1972.5,30,1,Buenos Aires,-58.3817,-34.6033
Omar Asad,Argentina,43,1.77,Forward,1995,1995,2,0,Buenos Aires,-58.3817,-34.6033
Sergio Batista,Argentina,51,1.86,Midfielder,1985-1990,1987.5,39,0,Buenos Aires,-58.3817,-34.6033
Jos&#xE9; Basualdo,Argentina,51,1.77,Midfielder,1989-1995,1992,31,0,Campana Buenos Aires Province,-58.9167,-34.1667
Guillermo Barros Schelotto,Argentina,41,,Forward,1995-1999,1997,10,0,La Plata,-57.9544,-34.9211
Alfio Basile,Argentina,70,,Defender,1968-1973,1970.5,8,1,Bah&#xED;a Blanca,-62.2667,-38.7167
Sebasti&#xE1;n Battaglia,Argentina,33,1.78,Midfielder,2003-2009,2006,10,0,Santa Fe Argentina,-60.7,-31.6333
Christian Bassedas,Argentina,41,1.78,Midfielder,1994-1999,1996.5,22,0,Buenos Aires,-58.3817,-34.6033
Fabi&#xE1;n Basualdo,Argentina,50,,Defender,1991-1993,1992,29,0,Rosario Santa Fe,-60.6667,-32.95
Edgardo Bauza,Argentina,56,1.89,Defender,1981-1990,1985.5,3,0,Granadero Baigorria,-60.7,-32.85
Fernando Belluschi,Argentina,30,1.75,Midfielder,2005-,2009.5,5,0,Los Quirquinchos,-61.7167,-33.3667
Jos&#xE9; Mar&#xED;a Basanta,Argentina,30,1.88,Defender,2013-,2013.5,12,0,Tres Sargentos,-60.0167,-34.45
Gabriel Batistuta,Argentina,45,1.85,Forward,1991-2002,1996.5,78,56,Reconquista Santa Fe,-59.9333,-29.2333
